Band structure: 
9.3157043189 4.1691122084 
9.3825065924 4.1682649761 
9.4493088659 4.1673716178 
9.5161111395 4.1664305282 
9.5829134130 4.1654407533 
9.6497156865 4.1644019988 
9.7165179600 4.1633146212 
9.7833202335 4.1621796046 
9.8501225070 4.1609985242 
9.9169247805 4.1597735011 
9.9837270541 4.1585071514 
10.0505293276 4.1572025311 
10.1173316011 4.1558630806 
10.1841338746 4.1544925684 
10.2509361481 4.1530950365 
10.3177384216 4.1516747444 
10.3845406952 4.1502361123 
10.4513429687 4.1487836601 
10.5181452422 4.1473219431 
10.5849475157 4.1458554873 
10.6517497892 4.1443887331 
10.7185520627 4.1429259974 
10.7853543362 4.1414714542 
10.8521566098 4.1400291033 
10.9189588833 4.1386026636 
10.9857611568 4.1371953186 
11.0525634303 4.1358092832 
11.1193657038 4.1344452075 
11.1861679773 4.1331014642 
11.2529702508 4.1317733719 
11.3197725244 4.1304524804 
11.3865747979 4.1291263021 
11.4533770714 4.1277794805 
11.5201793449 4.1263985947 
11.5869816184 4.1249846219 
11.6537838919 4.1235780569 
11.7205861654 4.1222956312 
11.7873884390 4.1213517226 
11.8541907125 4.1209972660 

0.0000000000 4.1209972660 
0.0578524659 4.1205621654 
0.1157049318 4.1193131447 
0.1735573977 4.1173965653 
0.2314098636 4.1150043322 
0.2892623295 4.1123439690 
0.3471147954 4.1096330173 
0.4049672613 4.1070840495 
0.4628197272 4.1047206965 
0.5206721930 4.1020097257 
0.5785246589 4.0987020204 
0.6363771248 4.0951332340 
0.6942295907 4.0915118075 
0.7520820566 4.0879308625 
0.8099345225 4.0844544079 
0.8677869884 4.0811569846 
0.9256394543 4.0781542565 
0.9834919202 4.0756341368 
1.0413443861 4.0738493593 
1.0991968520 4.0729781598 
1.1570493179 4.0729412135 
1.2149017838 4.0734764175 
1.2727542497 4.0743415529 
1.3306067156 4.0753822587 
1.3884591815 4.0765109948 
1.4463116474 4.0776786363 
